Date,Open,High,Low,Close,Volume,Adj Close
2010-02-03,5283.30,5305.40,5237.70,5253.10,1160343400,5253.10
2010-02-02,5247.40,5289.00,5208.20,5283.30,1106690900,5283.30
2010-02-01,5188.50,5250.10,5163.60,5247.40,935810900,5247.40
2010-01-29,5145.70,5230.20,5145.70,5188.50,1281845700,5188.50
2010-01-28,5217.50,5280.40,5145.70,5145.70,1294444600,5145.70
2010-01-27,5276.90,5276.90,5192.60,5217.50,1271716700,5217.50
2010-01-26,5260.30,5276.90,5215.70,5276.90,1016053700,5276.90
2010-01-25,5303.00,5330.60,5252.90,5260.30,1025198700,5260.30
2010-01-22,5335.10,5345.60,5253.00,5303.00,1649464100,5303.00
2010-01-21,5420.80,5468.40,5331.60,5335.10,1346000400,5335.10
2010-01-20,5513.10,5513.10,5404.00,5420.80,1201137800,5420.80
2010-01-19,5494.40,5531.90,5431.30,5513.10,1108801500,5513.10
2010-01-18,5455.40,5504.00,5454.30,5494.40,778845100,5494.40
2010-01-15,5498.20,5527.00,5450.40,5455.40,1746382600,5455.40
2010-01-14,5473.50,5521.90,5473.50,5498.20,928186000,5498.20
2010-01-13,5498.70,5509.70,5450.90,5473.50,849922900,5473.50
2010-01-12,5538.10,5549.60,5459.90,5498.70,960363800,5498.70
2010-01-11,5534.20,5600.50,5527.90,5538.10,903964300,5538.10
2010-01-08,5526.70,5549.30,5494.80,5534.20,1008023000,5534.20
2010-01-07,5530.00,5551.70,5499.80,5526.70,1164018000,5526.70
2010-01-06,5522.50,5536.50,5497.60,5530.00,1000255200,5530.00
2010-01-05,5500.30,5536.40,5480.70,5522.50,1149301100,5522.50
2010-01-04,5412.90,5500.30,5410.80,5500.30,750941900,5500.30
2009-12-31,5397.90,5431.90,5390.40,5412.90,173847500,5412.90
2009-12-30,5437.60,5442.80,5390.60,5397.90,345719600,5397.90
2009-12-29,5402.40,5445.20,5402.40,5437.60,387897800,5437.60
2009-12-24,5372.40,5402.40,5367.80,5402.40,231029500,5402.40
2009-12-23,5328.70,5386.60,5328.70,5372.40,482969800,5372.40
2009-12-22,5294.00,5361.90,5294.00,5328.70,556895300,5328.70
2009-12-21,5196.80,5320.00,5196.80,5294.00,791039800,5294.00
2009-12-18,5217.60,5287.60,5196.80,5196.80,2132556000,5196.80
2009-12-17,5320.30,5320.30,5217.60,5217.60,1164509700,5217.60
2009-12-16,5285.80,5335.30,5283.90,5320.30,892405400,5320.30
2009-12-15,5315.30,5328.10,5250.80,5285.80,822309500,5285.80
2009-12-14,5261.60,5331.00,5261.60,5315.30,1090034300,5315.30
2009-12-11,5244.40,5312.00,5244.40,5261.60,972486600,5261.60
2009-12-10,5203.90,5254.50,5194.50,5244.40,1108715400,5244.40
2009-12-09,5223.10,5245.90,5175.70,5203.90,1211920900,5203.90
2009-12-08,5310.70,5323.40,5206.40,5223.10,1305308400,5223.10
2009-12-07,5322.40,5328.80,5251.00,5310.70,1072522800,5310.70
2009-12-04,5313.00,5373.90,5272.80,5322.40,1344173900,5322.40
2009-12-03,5327.40,5372.40,5311.90,5313.00,1471991100,5313.00
2009-12-02,5312.20,5348.50,5283.00,5327.40,1535114000,5327.40
2009-12-01,5190.70,5312.20,5190.70,5312.20,1365285900,5312.20
2009-11-30,5245.70,5270.40,5190.70,5190.70,1277889300,5190.70
2009-11-27,5194.10,5271.00,5103.80,5245.70,1511711500,5245.70
2009-11-26,5364.80,5364.80,5189.40,5194.10,1111331100,5194.10
2009-11-25,5324.00,5372.20,5324.00,5364.80,1023165700,5364.80
2009-11-24,5355.50,5374.90,5309.10,5324.00,1133899500,5324.00
2009-11-23,5251.40,5379.50,5251.40,5355.50,721784600,5355.50
2009-11-20,5267.70,5309.40,5224.00,5251.40,1164314800,5251.40
2009-11-19,5342.10,5343.80,5254.20,5267.70,969705900,5267.70
2009-11-18,5345.90,5372.10,5331.60,5342.10,1023850900,5342.10
2009-11-17,5382.70,5382.70,5337.00,5345.90,861148100,5345.90
2009-11-16,5296.40,5397.00,5296.40,5382.70,786369300,5382.70
2009-11-13,5276.50,5297.40,5251.30,5296.40,825989300,5296.40
2009-11-12,5266.80,5304.90,5254.10,5276.50,1026302300,5276.50
2009-11-11,5230.50,5301.10,5230.50,5266.80,1051541500,5266.80
2009-11-10,5235.20,5264.30,5221.50,5230.50,1093802600,5230.50
2009-11-09,5142.70,5240.00,5142.70,5235.20,868290100,5235.20
2009-11-06,5125.60,5159.00,5077.90,5142.70,1027214100,5142.70
2009-11-05,5107.10,5154.60,5036.90,5125.60,1004107600,5125.60
2009-11-04,5037.20,5120.80,5037.20,5107.90,959549600,5107.90
2009-11-03,5104.50,5104.50,4985.10,5037.20,1355407100,5037.20
2009-11-02,5044.50,5115.70,5022.50,5104.50,1039674800,5104.50
2009-10-30,5137.70,5169.90,5024.40,5044.50,1402699300,5044.50
